gene_claim_name	gene_name	entrez_id	gene_claim_source
ENSG00000104361	NIPAL2	79815	Ensembl
CD137	TNFRSF9	3604	ChemblInteractions
ENSG00000273461			Ensembl
ENSG00000259937			Ensembl
ENSG00000247092	SNHG10	283596	Ensembl
ENSG00000119125	GDA	9615	Ensembl
ANG-2	ANGPT2	285	TALC
ENSG00000183248	PRR36	80164	Ensembl
AHNAK	AHNAK	79026	GO
ENSG00000221829	FANCG	2189	Ensembl
ENSG00000134940	ACRV1	56	Ensembl
ENSG00000266648	SETP3	619349	Ensembl
3273	HRG	3273	dGene
ENSG00000202522			Ensembl
ENSG00000215409			Ensembl
27005	USP21	27005	dGene
TTDC00033	IL12B	3593	TTD
ENSG00000081051	AFP	174	Ensembl
PAX4	PAX4	5078	GO
BCL6	BCL6	604	GO
TTDC00225	CXCL2	2920	TTD
478	P2RX1	5023	GuideToPharmacologyInteractions
CTSH	CTSH	1512	GO
ENSG00000180233	ZNRF2	223082	Ensembl
TTDC00286			TTD
ENSG00000266392	MIR4740	100616294	Ensembl
ENSG00000042286	AIFM2	84883	Ensembl
ENSG00000232450			Ensembl
ENSG00000152558	TMEM123	114908	HingoraniCasas
Q92887	ABCC2	1244	HopkinsGroom
ENSG00000249301			Ensembl
ENSG00000074935	TUBE1	51175	HingoraniCasas
ENSG00000282994			Ensembl
Q9HB55	CYP3A43	64816	HopkinsGroom
ENSG00000134389	CFHR5	81494	Ensembl
ENSG00000283402			Ensembl
ENSG00000270379	HEATR9	256957	Ensembl
FOLR1	FOLR1	2348	GO
ENSG00000111653	ING4	51147	Ensembl
TTDS00291	MGAM	8972	TTD
ENSG00000283211			Ensembl
ENSG00000277985	SNORA67	26781	Ensembl
ENSG00000258739	ENO1P2	100419098	Ensembl
ENSG00000177613	CSTF2T	23283	Ensembl
PTGFR	PTGFR	5737	ChemblInteractions
ENSG00000181773	GPR3	2827	HingoraniCasas
ENSG00000279790			Ensembl
ENSG00000167236	CCL23	6368	HingoraniCasas
ENSG00000212527	RNA5SP63	100873298	Ensembl
ENSG00000249599	BMPR1B-AS1	100507012	Ensembl
ENSG00000188585	CLEC20A	400797	Ensembl
ENSG00000223496	EXOSC6	118460	Ensembl
SHB	SHB	6461	GO
ENSG00000283874	MIR3911	100500872	Ensembl
ENSG00000245680	ZNF585B	92285	Ensembl
ENSG00000270339			Ensembl
1474	PRKAR2A	5576	GuideToPharmacologyGenes
ENSG00000232969			Ensembl
UMOD	UMOD	7369	NCI
ENSG00000274966			Ensembl
ENSG00000236168			Ensembl
ENSG00000203758	OR10T1P	79514	Ensembl
ENSG00000228965	RPSAP60	100271149	Ensembl
P06737	PYGL	5836	TdgClinicalTrial
ENSG00000230065			Ensembl
ENSG00000198431	TXNRD1	7296	Ensembl
ENSG00000243279	PRAF2	11230	Ensembl
ENSG00000267026			Ensembl
ENSG00000224852	MTND5P24	100873262	Ensembl
ENSG00000252468	RNU2-57P	106480222	Ensembl
ENSG00000168078	PBK	55872	RussLampel
ENSG00000228167			Ensembl
219875	OR4D5	219875	dGene
ENSG00000259776			Ensembl
ENSG00000243347	LINC02045	105374146	Ensembl
ENSG00000230524	COL6A4P1	344875	Ensembl
ENSG00000237901			Ensembl
ENSG00000254144			Ensembl
ENSG00000197838	CYP2A13	1553	Ensembl
ENSG00000179151	EDC3	80153	Ensembl
ENSG00000198563	DDX39B	7919	Ensembl
ENSG00000255162			Ensembl
ENSG00000278160			Ensembl
57094	CPA6	57094	dGene
ENSG00000249740	OSMR-AS1	101929768	Ensembl
ENSG00000000457	SCYL3	57147	Ensembl
ENSG00000234087			Ensembl
INPP4B	INPP4B	8821	MskImpact
2948	BTN3A1	11119	GuideToPharmacologyInteractions
ENSG00000130024	PHF10	55274	Ensembl
TIL3	TLR5	7100	ChemblInteractions
ENSG00000229881			Ensembl
ENSG00000201847	SNORD31B	109616978	Ensembl
ENSG00000260526			Ensembl
ENSG00000196445			RussLampel
ENSG00000099341	PSMD8	5714	Ensembl
ENSG00000187033	SAMD7	344658	Ensembl
ENSG00000237442	HNRNPA1P57	101060039	Ensembl
ENSG00000257343			Ensembl
ENSG00000042429	MED17	9440	Ensembl
ENSG00000121068	TBX2	6909	Ensembl
ENSG00000217179	MTCYBP2	100873168	Ensembl
ENSG00000163823	CCR1	1230	HingoraniCasas
ENSG00000237546	XKRYP6	379033	Ensembl
ENSG00000221630	MIR1179	100302235	Ensembl
ENSG00000088386	SLC15A1	6564	Ensembl
ENSG00000116774	OLFML3	56944	HingoraniCasas
ENSG00000118971	CCND2	894	Ensembl
ENSG00000168703	WFDC12	128488	Ensembl
ENSG00000243646	IL10RB	3588	Ensembl
ENSG00000173421	CCDC36	339834	Ensembl
ENSG00000199633	SNORA63	6043	Ensembl
ENSG00000057252	SOAT1	6646	Ensembl
ENSG00000107863	ARHGAP21	57584	Ensembl
ENSG00000283776			Ensembl
ENSG00000234604			Ensembl
ENSG00000227342	LINC00307	266919	Ensembl
RAMP3	RAMP3	10268	ChemblInteractions
ENSG00000134575	ACP2	53	HingoraniCasas
ENSG00000164951	PDP1	54704	Ensembl
ENSG00000247315	ZCCHC3	85364	Ensembl
ENSG00000144580	CNOT9	9125	Ensembl
ENSG00000205946	USP17L6P	391622	Ensembl
ENSG00000223634			Ensembl
ENSG00000227658			Ensembl
ENSG00000115415	STAT1	6772	Ensembl
TTDS00497	SST	6750	TTD
9476	NAPSA	9476	dGene
P58173	OR2B6	26212	HopkinsGroom
ENSG00000244391	RN7SL330P	106481013	Ensembl
ENSG00000212447	SNORD90	692206	Ensembl
ENSG00000250021	C15ORF38-AP3S2	100526783	Ensembl
ENSG00000137225	CAPN11	11131	Ensembl
OR11A1	OR11A1	26531	GO
ENSG00000108010	GLRX3	10539	RussLampel
26689	OR4D1	26689	dGene
ENSG00000207951	MIR561	693146	Ensembl
KCNG3	KCNG3	170850	GO
VHL	VHL	7428	FoundationOneGenes
ENSG00000163788	SNRK	54861	HingoraniCasas
ENSG00000171790	SLFNL1	200172	Ensembl
MLK3	MAP3K11	4296	ChemblInteractions
ENSG00000249950			Ensembl
ENSG00000274999	MIR8052	102466873	Ensembl
VAMP2	VAMP2	6844	NCI
ENSG00000146457	WTAP	9589	Ensembl
ENSG00000135617	PRADC1	84279	HingoraniCasas
ENSG00000224269			Ensembl
ENSG00000235001	EIF4A1P2	359792	Ensembl
ENSG00000168724	DNAJC21	134218	Ensembl
ENSG00000262518			Ensembl
MAPKAPK3	MAPKAPK3	7867	GO
ENSG00000231541	RPS6P2	100270864	Ensembl
136540	PRSS3P3	136540	dGene
ENSG00000135636	DYSF	8291	Ensembl
191	AHCY	191	GuideToPharmacologyGenes
ENSG00000249513			Ensembl
ENSG00000213587			Ensembl
ENSG00000122965	RBM19	9904	Ensembl
ENSG00000248338	LINC02472	105374561	Ensembl
ENSG00000268100			Ensembl
ABCG4	ABCG4	64137	GO
SLN	SLN	6588	GO
ENSG00000259624			Ensembl
ENSG00000278313			Ensembl
ENSG00000234155	LINC02535	101928820	Ensembl
SLC1A3	SLC1A3	6507	GO
ENSG00000202167	RNU1-114P	106481626	Ensembl
ENSG00000116212	LRRC42	115353	Ensembl
ENSG00000223498			Ensembl
ENSG00000259137			Ensembl
ENSG00000187747	OR52B6	340980	Ensembl
ENSG00000112472	RXRB	6257	RussLampel
PARP1	PARP1	142	GO
ENSG00000250951	USP9YP1	387362	Ensembl
TBPL1	TBPL1	9519	GO
ENSG00000279281			Ensembl
ENSG00000225489			Ensembl
P21918	DRD5	1816	TEND
P0C2W1	FBXO45	200933	HopkinsGroom
ENSG00000214691	LINC01913	388942	Ensembl
ENSG00000252103	RNU6-917P	106479971	Ensembl
LIPC	LIPC	3990	GO
ENSG00000108828	VAT1	10493	Ensembl
RIOK1	RIOK1	83732	GO
ENSG00000231565	NEK2P2	100379667	Ensembl
ENSG00000198554	WDHD1	11169	Ensembl
ENSG00000114857	NKTR	4820	RussLampel
ENSG00000237609			Ensembl
URS00004BCD9C_9606			GO
ENSG00000225022	UBE2D3P1	100037280	Ensembl
ENSG00000204121	ECEL1P1	100131546	Ensembl
ENSG00000238561	RNU6ATAC28P	106479555	Ensembl
ZAP70	ZAP70	7535	GO
ENSG00000230454			Ensembl
ENSG00000138641	HERC3	8916	Ensembl
ENSG00000252081	RNU6-277P	106481266	Ensembl
ENSG00000101440	ASIP	434	Ensembl
TXGP1	TNFSF4	7292	ChemblInteractions
4317	MMP8	4317	dGene
ENSG00000182873	PRKCZ-AS1	100506504	Ensembl
ENSG00000237162			Ensembl
Q9HCC0	MCCC2	64087	HopkinsGroom
5586	PKN2	5586	dGene
ENSG00000164105	SAP30	8819	Ensembl
ENSG00000099715	PCDH11Y	83259	Ensembl
ENSG00000271959			Ensembl
ENSG00000260166			Ensembl
ENSG00000226186	ELOCP21	100462866	Ensembl
ENSG00000261624	NDUFB10P2	107075304	Ensembl
NDRG1	NDRG1	10397	GO
ENSG00000163254	CRYGC	1420	Ensembl
GATA3	GATA3	2625	MskImpact
ENSG00000205126	ACCSL	390110	Ensembl
ENSG00000122733	PHF24	23349	Ensembl
ENSG00000258631			Ensembl
ENSG00000217228	GSTA12P	647169	Ensembl
ENSG00000241003			Ensembl
ENSG00000153820	SPHKAP	80309	Ensembl
ENSG00000108669	CYTH1	9267	Ensembl
ENSG00000218173			Ensembl
ENSG00000254946			Ensembl
ENSG00000215206	TRBV24OR9-2	6961	Ensembl
ENSG00000248518			Ensembl
2841	GPR18	2841	dGene
OVOS			GO
ENSG00000263618			Ensembl
ENSG00000226262	PHKBP1	5258	Ensembl
ENSG00000240869	RN7SL128P	106481826	Ensembl
ENSG00000139610	CELA1	1990	Ensembl
HSPA5	HSPA5	3309	CIViC
ENSG00000213538	KRT8P41	283102	Ensembl
ENSG00000233205			Ensembl
ENSG00000268758	ADGRE4P	326342	Ensembl
ENSG00000164216	TSSK1B	83942	RussLampel
ENSG00000139083	ETV6	2120	Ensembl
ENSG00000241563	CORT	1325	HingoraniCasas
ENSG00000252174	RNU7-18P	100147766	Ensembl
ENSG00000242928	RN7SL868P	106479537	Ensembl
ENSG00000108306	FBXL20	84961	Ensembl
ENSG00000211538	MIR501	574503	Ensembl
ENSG00000235699	CXORF51B	100133053	Ensembl
ENSG00000260298	ACTG1P16	100418960	Ensembl
ENSG00000226493	RPL26P27	100271471	Ensembl
ENSG00000230164	MAS1LP1	646366	Ensembl
ENSG00000171658	NMRAL2P	344887	Ensembl
ENSG00000253692	IGHEP1	3498	Ensembl
1719	CSF3R	1441	GuideToPharmacologyInteractions
ENSG00000125089	SH3TC1	54436	Ensembl
ENSG00000169313	P2RY12	64805	Ensembl
NR5A2	NR5A2	2494	GO
ENSG00000250349			Ensembl
ENSG00000241392	RN7SL205P	106479297	Ensembl
2586	CLIP2	7461	GuideToPharmacologyInteractions
ENSG00000235189			Ensembl
ENSG00000124614	RPS10	6204	Ensembl
ENSG00000279481			Ensembl
ENSG00000206177	HBM	3042	Ensembl
ENSG00000229639	LINC01758	105378788	Ensembl
2701	SETD1B	23067	GuideToPharmacologyGenes
DEFB112	DEFB112	245915	GO
ENSG00000258641	OR4T1P	390435	Ensembl
8732	RNGTT	8732	dGene
ENSG00000206676			Ensembl
ENSG00000201579	RNU6-343P	106479719	Ensembl
ENSG00000221983	UBA52	7311	Ensembl
ENSG00000248616			Ensembl
ENSG00000233487	RPSAP69	101927158	Ensembl
ENSG00000237401	LINC01304	100505964	Ensembl
TAS2R19	TAS2R19	259294	GO
ENSG00000236116			Ensembl
CSF1R	CSF1R	1436	DoCM
ENSG00000260066			Ensembl
O43557	TNFSF14	8740	TdgClinicalTrial
ENSG00000226549	SCDP1	645313	Ensembl
ENSG00000271736			Ensembl
P32246	CCR1	1230	TdgClinicalTrial
ENSG00000180432	CYP8B1	1582	HingoraniCasas
ENSG00000231675			Ensembl
ENSG00000218577			Ensembl
ENSG00000272788			Ensembl
ENSG00000145901	TNIP1	10318	Ensembl
ENSG00000242747			Ensembl
ENSG00000123219	CENPK	64105	Ensembl
ENSG00000270655			Ensembl
ENSG00000267412			Ensembl
ENSG00000250895			Ensembl
ENSG00000229035	SPRR2C	6702	Ensembl
ENSG00000224485	USP9YP7	100462821	Ensembl
ENSG00000253707			Ensembl
ENSG00000237194	SNAI1P1	10415	Ensembl
ENSG00000153989	NUS1	116150	Ensembl
ENSG00000221961	PRR21	643905	Ensembl
PPP1R2P1	PPP1R2P1	100507444	GO
TTDS00360	PTPRS	5802	TTD
ENSG00000172269	DPAGT1	1798	Ensembl
PKCE	PRKCE	5581	ChemblInteractions
ENSG00000228095			Ensembl
ENSG00000280375			Ensembl
ENSG00000283717	MIR6831	102465499	Ensembl
ADCY9	ADCY9	115	GO
ENSG00000226912	ISCA2P1	100287193	Ensembl
ENSG00000235159			Ensembl
ENSG00000243968	RN7SL402P	106479371	Ensembl
ENSG00000085265	FCN1	2219	HingoraniCasas
ENSG00000238026			Ensembl
ENSG00000149262	INTS4	92105	Ensembl
ENSG00000202251			Ensembl
ENSG00000282420			Ensembl
ENSG00000177272	KCNA3	3738	HingoraniCasas
ENSG00000252033	RNU6-311P	106479705	Ensembl
ENSG00000223877	RPS8P10	388076	Ensembl
ENSG00000211651	IGLV1-44	28823	Ensembl
ENSG00000275038			Ensembl
ENSG00000186283	TOR3A	64222	Ensembl
ENSG00000146350	TBC1D32	221322	Ensembl
ENSG00000224017	LINC01449	101928773	Ensembl
ENSG00000205329	OR6C3	254786	Ensembl
ENSG00000251629	LINC02241	105374676	Ensembl
ENSG00000267421			Ensembl
ENSG00000211809	TRAV27	28655	Ensembl
ENSG00000269082			Ensembl
HPGD	HPGD	3248	GO
ENSG00000248878			Ensembl
ENSG00000254699			Ensembl
ENSG00000162836	ACP6	51205	HingoraniCasas
ENSG00000230941			Ensembl
ENSG00000157881	PANK4	55229	Ensembl
ENSG00000166948	TGM6	343641	HingoraniCasas
ENSG00000237054	PRMT5-AS1	100505758	Ensembl
HAND2	HAND2	9464	GO
ENSG00000196787	HIST1H2AG	8969	Ensembl
ENSG00000115687	PASK	23178	HingoraniCasas
ENSG00000225581	TRIM53AP	642569	Ensembl
ENSG00000137824	RMDN3	55177	Ensembl
ENSG00000181031	RPH3AL	9501	Ensembl
ENSG00000213300	HNRNPA3P6	653115	Ensembl
ENSG00000231441			Ensembl
ENSG00000136319	TTC5	91875	Ensembl
ENSG00000256947			Ensembl
140901	STK35	140901	dGene
NRAS	NRAS	4893	DoCM
TRAF4	TRAF4	9618	GO
ENSG00000212993	POU5F1B	5462	Ensembl
ENSG00000268747			Ensembl
ENSG00000230091	TMEM254-AS1	219347	Ensembl
ENSG00000117480	FAAH	2166	HingoraniCasas
ENSG00000149554	CHEK1	1111	Ensembl
1522	PKN3	29941	GuideToPharmacologyGenes
ENSG00000241204			Ensembl
ENSG00000204344	STK19	8859	Ensembl
ARRB1	ARRB1	408	GO
505	PKD2L1	9033	GuideToPharmacologyGenes
TNFRSF10D	TNFRSF10D	8793	GO
ENSG00000129437	KLK14	43847	HingoraniCasas
